feature-set,META,AAPL,GOOGL,NFLX,AMZN,Average,Best,^GSPC
fs-price,0.837,1.286,0.646,1.548,1.006,0.309,0,0.505
fs-return,0.543,1.345,0.896,2.176,1.223,0.352,0,0.522
fs-ma15,0.828,1.34,0.677,1.622,1.464,0.364,0,0.599
fs-ma30,0.829,1.941,0.776,1.619,1.195,0.4,0,0.595
fs-general-score,0.792,1.809,0.769,1.4,0.865,0.321,0,0.544
fs-company-score,0.877,1.461,1.103,1.555,2.393,0.578,0,0.526
fs-general-company-score,0.998,1.213,0.644,1.607,1.29,0.405,0,0.675
fs-general-ma15,0.931,1.009,0.484,2.265,0.737,0.359,0,0.5
fs-company-ma15,0.694,2.143,0.75,2.076,1.479,0.427,0,0.471
fs-general-company-ma15,0.839,1.144,0.477,2.892,0.77,0.406,0,0.514
fs-general-ma30,0.915,0.659,0.476,2.677,0.572,0.369,0,0.54
fs-company-ma30,0.556,4.452,0.652,1.849,1.835,0.463,0,0.445
fs-general-company-ma30,0.891,0.619,0.372,2.08,0.555,0.252,3,0.458
fs-return-general-company-score,0.531,1.262,0.719,1.304,2.943,0.328,2,0.57
fs-ma15-general-company-ma15,0.96,1.026,0.604,2.712,0.826,0.468,0,0.464
fs-ma30-general-company-ma30,0.963,0.693,0.431,2.196,0.684,0.328,0,0.487
