feature-set,META,AAPL,GOOGL,NFLX,AMZN,Average,Best,^GSPC
fs-price,0.265,0.686,0.459,0.648,0.343,0.061,0,0.357
fs-return,0.307,0.503,0.461,0.825,0.374,0.116,0,0.31
fs-ma15,0.367,0.67,0.516,0.635,0.334,0.151,2,0.296
fs-ma30,0.39,0.806,0.608,0.725,0.514,0.274,0,0.314
fs-general-score,0.525,0.839,0.456,0.726,0.503,0.271,0,0.513
fs-company-score,0.477,1.228,0.712,0.968,0.508,0.487,0,0.473
fs-general-company-score,0.487,1.092,0.506,0.9,0.645,0.36,0,0.473
fs-general-ma15,0.588,0.499,0.675,0.946,0.434,0.447,0,0.536
fs-company-ma15,0.34,1.083,0.671,1.203,0.417,0.411,0,0.627
fs-general-company-ma15,0.462,1.253,0.581,1.465,0.514,0.525,0,0.581
fs-general-ma30,0.571,0.893,0.762,1.086,0.411,0.557,0,0.531
fs-company-ma30,0.355,2.392,0.638,0.805,2.067,0.627,0,0.493
fs-general-company-ma30,0.51,1.2,0.645,1.312,0.678,0.568,0,0.556
fs-return-general-company-score,0.261,0.399,0.414,0.912,0.34,0.067,3,0.254
fs-ma15-general-company-ma15,0.486,1.276,0.615,1.059,0.597,0.474,0,0.497
fs-ma30-general-company-ma30,0.543,1.663,0.592,1.155,0.494,0.545,0,0.473
